Train Number,Boarding Station,Destination,Date of Journey,Booking Date,Class,Total Seats in Class,Type of Waiting List,Booking Status,Maximum Waiting,festival,Holidays,status before three weeks,status before two weeks,status before one week,status before three days,status before one day,confirm
14554,AADR,DLI,10-09-2017,09-09-2017,2A,182,GNWL,15,15,0,1,14,13,10,8,4,0
14554,AADR,DLI,04-10-2017,08-10-2017,3A,216,GNWL,5,21,1,0,2,0,0,0,0,1
14554,AADR,DLI,19-10-2017,24-09-2017,2A,182,GNWL,27,33,0,1,25,22,21,19,15,0
14554,AADR,DLI,30-12-2017,01-12-2017,SL,880,GNWL,16,24,0,0,8,3,0,0,0,1
14554,AADR,DLI,07-11-2017,02-08-2017,2A,182,GNWL,18,28,0,0,17,15,12,11,9,0
18477,AAL,GZB,02-12-2017,11-12-2017,SL,880,GNWL,100,105,1,0,94,88,82,81,77,0
18234,AAL,INDB,14-08-2017,08-05-2017,3A,216,GNWL,14,51,1,1,12,8,4,2,0,1
12853,AAL,HBJ,27-12-2017,24-10-2017,SL,880,GNWL,27,83,1,1,20,19,12,8,2,1
16350,AAM,TVC,09-09-2017,26-07-2017,SL,880,GNWL,18,78,1,0,10,7,0,0,0,1
16350,AAM,TVC,18-09-2017,03-08-2017,3A,216,GNWL,5,54,1,1,2,0,0,0,0,1
12609,AB,BNC,27-12-2017,08-09-2017,3A,216,RLWL,45,45,1,0,41,37,34,30,27,0
12608,AB,MAS,30-10-2017,15-08-2017,1A,10,GNWL,13,13,1,1,12,10,9,7,6,0
13163,ABKA,MLDT,05-09-2017,04-06-2017,2A,182,RLWL,15,29,1,1,13,12,10,8,5,0
18242,ABKP,DURG,27-12-2017,01-12-2017,3A,216,RLWL,15,50,1,0,12,8,3,0,0,1
18242,ABKP,R,25-07-2017,20-04-2017,3A,216,RLWL,15,32,0,1,13,12,8,2,0,1
18242,ABKP,DURG,07-11-2017,25-08-2017,3A,216,GNWL,31,53,1,1,27,24,23,19,13,0
23010,ABP,HWH,08-08-2017,23-05-2017,2A,182,GNWL,13,33,1,0,12,11,7,6,5,0
23010,ABP,HWH,12-09-2017,17-07-2017,2A,182,GNWL,11,30,1,1,10,8,5,2,0,1
22104,ABP,LTT,10-08-2017,13-06-2017,SL,880,RLWL,39,79,1,0,35,27,18,12,4,1
19321,ABP,PNBE,12-11-2017,27-11-2017,SL,880,RLWL,14,78,1,0,11,2,0,0,0,1
19168,ABP,CNB,18-10-2017,24-09-2017,SL,880,GNWL,15,72,0,1,9,1,0,0,0,1
19168,ABP,ADI,25-08-2017,30-07-2017,SL,880,GNWL,20,46,1,1,19,15,11,8,1,1
19168,ABP,BRC,05-11-2017,15-10-2017,SL,880,RLWL,38,77,0,0,35,31,29,23,18,0
